cohort_month,period_number,retention_rate
2016-09,0,1.0
2016-10,0,1.0
2016-10,6,0.003115264797507788
2016-10,9,0.003115264797507788
2016-10,11,0.003115264797507788
2016-10,13,0.003115264797507788
2016-10,15,0.003115264797507788
2016-10,17,0.003115264797507788
2016-10,19,0.006230529595015576
2016-10,20,0.006230529595015576
2016-12,0,1.0
2016-12,1,1.0
2017-01,0,1.0
2017-01,1,0.003926701570680628
2017-01,2,0.002617801047120419
2017-01,3,0.0013089005235602095
2017-01,4,0.003926701570680628
2017-01,5,0.0013089005235602095
2017-01,6,0.005235602094240838
2017-01,7,0.0013089005235602095
2017-01,8,0.0013089005235602095
2017-01,10,0.003926701570680628
2017-01,11,0.0013089005235602095
2017-01,12,0.007853403141361256
2017-01,13,0.003926701570680628
2017-01,14,0.0013089005235602095
2017-01,15,0.0013089005235602095
2017-01,16,0.002617801047120419
2017-01,17,0.003926701570680628
2017-01,19,0.0013089005235602095
2017-02,0,1.0
2017-02,1,0.00228310502283105
2017-02,2,0.0028538812785388126
2017-02,3,0.001141552511415525
2017-02,4,0.003995433789954338
2017-02,5,0.001141552511415525
2017-02,6,0.00228310502283105
2017-02,7,0.0017123287671232876
2017-02,8,0.0017123287671232876
2017-02,9,0.00228310502283105
2017-02,10,0.001141552511415525
2017-02,11,0.0028538812785388126
2017-02,12,0.0017123287671232876
2017-02,13,0.0017123287671232876
2017-02,14,0.001141552511415525
2017-02,15,0.0005707762557077625
2017-02,16,0.0005707762557077625
2017-02,17,0.00228310502283105
2017-03,0,1.0
2017-03,1,0.004931714719271623
2017-03,2,0.0037936267071320183
2017-03,3,0.0037936267071320183
2017-03,4,0.0034142640364188165
2017-03,5,0.0015174506828528073
2017-03,6,0.0015174506828528073
2017-03,7,0.0030349013657056147
2017-03,8,0.0034142640364188165
2017-03,9,0.0007587253414264037
2017-03,10,0.0037936267071320183
2017-03,11,0.0015174506828528073
2017-03,12,0.002276176024279211
2017-03,13,0.0011380880121396055
2017-03,14,0.0015174506828528073
2017-03,15,0.002276176024279211
2017-03,16,0.0007587253414264037
2017-03,17,0.0015174506828528073
2017-04,0,1.0
2017-04,1,0.005952380952380952
2017-04,2,0.0021258503401360546
2017-04,3,0.0017006802721088435
2017-04,4,0.003401360544217687
2017-04,5,0.002551020408163265
2017-04,6,0.003401360544217687
2017-04,7,0.002976190476190476
2017-04,8,0.002976190476190476
2017-04,9,0.0017006802721088435
2017-04,10,0.002551020408163265
2017-04,11,0.0008503401360544217
2017-04,12,0.0008503401360544217
2017-04,13,0.00042517006802721087
2017-04,14,0.0008503401360544217
2017-04,15,0.0008503401360544217
2017-04,16,0.0021258503401360546
2017-05,0,1.0
2017-05,1,0.005005561735261402
2017-05,2,0.005005561735261402
2017-05,3,0.00389321468298109
2017-05,4,0.0030589543937708566
2017-05,5,0.0033370411568409346
2017-05,6,0.004171301446051168
2017-05,7,0.0016685205784204673
2017-05,8,0.002502780867630701
2017-05,9,0.0030589543937708566
2017-05,10,0.002502780867630701
2017-05,11,0.0033370411568409346
2017-05,12,0.002502780867630701
2017-05,13,0.00027808676307007786
2017-05,14,0.001946607341490545
2017-05,15,0.002502780867630701
2017-06,0,1.0
2017-06,1,0.004778591908251036
2017-06,2,0.003504300732717426
2017-06,3,0.00414144632048423
2017-06,4,0.002548582351067219
2017-06,5,0.003822873526600828
2017-06,6,0.003822873526600828
2017-06,7,0.0022300095571838167
2017-06,8,0.0012742911755336094
2017-06,9,0.0022300095571838167
2017-06,10,0.0031857279388340237
2017-06,11,0.003504300732717426
2017-06,12,0.0015928639694170119
2017-06,13,0.0012742911755336094
2017-06,14,0.001911436763300414
2017-07,0,1.0
2017-07,1,0.005136106831022085
2017-07,2,0.0035952747817154596
2017-07,3,0.0025680534155110425
2017-07,4,0.002824858757062147
2017-07,5,0.002054442732408834
2017-07,6,0.0030816640986132513
2017-07,7,0.001027221366204417
2017-07,8,0.0017976373908577298
2017-07,9,0.0025680534155110425
2017-07,10,0.0023112480739599386
2017-07,11,0.0030816640986132513
2017-07,12,0.0012840267077555213
2017-07,13,0.0025680534155110425
2017-08,0,1.0
2017-08,1,0.006931166347992352
2017-08,2,0.0033460803059273425
2017-08,3,0.0026290630975143404
2017-08,4,0.0035850860420650094
2017-08,5,0.005258126195028681
2017-08,6,0.0028680688336520078
2017-08,7,0.0026290630975143404
2017-08,8,0.0014340344168260039
2017-08,9,0.0014340344168260039
2017-08,10,0.002390057361376673
2017-08,11,0.0019120458891013384
2017-08,12,0.0009560229445506692
2017-09,0,1.0
2017-09,1,0.006779661016949152
2017-09,2,0.005326876513317191
2017-09,3,0.0029055690072639223
2017-09,4,0.004600484261501211
2017-09,5,0.0021791767554479417
2017-09,6,0.0021791767554479417
2017-09,7,0.002421307506053269
2017-09,8,0.0029055690072639223
2017-09,9,0.001694915254237288
2017-09,10,0.0026634382566585956
2017-09,11,0.0007263922518159806
2017-10,0,1.0
2017-10,1,0.006935123042505592
2017-10,2,0.0024608501118568234
2017-10,3,0.0008948545861297539
2017-10,4,0.0022371364653243847
2017-10,5,0.0020134228187919465
2017-10,6,0.0022371364653243847
2017-10,7,0.0035794183445190158
2017-10,8,0.0026845637583892616
2017-10,9,0.0020134228187919465
2017-10,10,0.0020134228187919465
2017-11,0,1.0
2017-11,1,0.00547645125958379
